Student_ID,Gender,Age,Branch,CGPA,Attendance,Backlogs,Internships,Projects,Aptitude_Score,Communication_Score,Placed
43,Male,21,MECH,6.9,74,2,0,1,61,64,No
44,Female,21,CSE,8.6,90,0,2,3,84,89,Yes
45,Male,22,ECE,7.8,84,1,1,2,73,77,Yes
46,Female,21,CIVIL,6.5,69,3,0,1,56,61,No
47,Male,21,IT,8.4,88,0,2,3,82,85,Yes
48,Female,22,EEE,7.0,76,2,0,2,63,67,No
49,Male,21,CSE,8.1,86,0,1,3,79,82,Yes
50,Female,21,ECE,7.6,83,1,1,2,72,76,No
51,Male,22,IT,8.9,93,0,3,4,89,91,Yes
52,Female,21,CSE,7.1,78,1,0,2,66,70,No
53,Male,21,ECE,8.2,87,0,2,3,80,84,Yes
54,Female,22,MECH,6.8,73,2,0,1,59,63,No
55,Male,21,CSE,8.5,90,0,2,3,85,88,Yes
56,Female,21,IT,7.3,81,1,1,2,68,72,No
57,Male,22,EEE,6.6,70,3,0,1,58,60,No
58,Female,21,CSE,8.8,92,0,2,4,87,90,Yes
59,Male,21,ECE,7.9,85,0,1,2,76,79,Yes
60,Female,22,CIVIL,6.9,74,2,0,1,62,65,No
61,Male,21,IT,8.3,88,0,2,3,81,86,Yes
62,Female,21,CSE,7.5,82,1,1,2,70,74,No
63,Male,22,ECE,8.6,90,0,2,3,85,87,Yes
64,Female,21,EEE,6.7,71,2,0,1,59,64,No
65,Male,21,CSE,8.9,94,0,3,4,91,93,Yes
66,Female,22,IT,7.4,80,1,1,2,69,73,No
67,Male,21,MECH,6.5,69,3,0,1,55,59,No
68,Female,21,CSE,8.2,87,0,1,3,78,82,Yes
69,Male,22,ECE,7.7,84,1,1,2,74,76,Yes
70,Female,21,CIVIL,6.8,73,2,0,1,60,63,No
71,Male,21,IT,8.7,91,0,2,3,86,89,Yes
72,Female,22,CSE,7.2,79,1,0,2,66,71,No
73,Male,21,ECE,8.4,88,0,2,3,82,85,Yes
74,Female,21,EEE,6.9,75,2,0,1,61,66,No
75,Male,22,CSE,8.6,92,0,2,4,87,90,Yes
76,Female,21,IT,7.0,77,2,0,2,64,68,No
77,Male,21,ECE,8.0,85,0,1,2,77,80,Yes
78,Female,22,MECH,6.6,72,3,0,1,57,61,No
79,Male,21,CSE,8.5,89,0,2,3,83,87,Yes
80,Female,21,ECE,7.6,82,1,1,2,72,75,No
81,Male,22,IT,9.0,95,0,3,4,92,94,Yes
82,Female,21,CSE,7.3,80,1,1,2,68,73,No
83,Male,21,ECE,8.1,86,0,1,3,79,82,Yes
84,Female,22,EEE,6.7,71,2,0,1,58,64,No
85,Male,21,CSE,8.8,92,0,2,4,88,91,Yes
86,Female,21,IT,7.5,83,1,1,2,71,75,No
87,Male,22,MECH,6.9,75,2,0,1,60,62,No
88,Female,21,CSE,8.3,88,0,2,3,81,84,Yes
89,Male,21,ECE,7.8,85,1,1,2,74,77,Yes
90,Female,22,CIVIL,6.4,68,3,0,1,54,59,No
91,Male,21,IT,8.6,91,0,2,3,85,88,Yes
92,Female,21,CSE,7.1,78,1,0,2,65,70,No
93,Male,22,ECE,8.5,89,0,2,3,83,86,Yes
94,Female,21,EEE,6.8,73,2,0,1,59,65,No
95,Male,21,CSE,8.9,94,0,3,4,90,92,Yes
96,Female,22,IT,7.4,81,1,1,2,69,72,No
97,Male,21,MECH,6.6,70,3,0,1,56,61,No
98,Female,21,CSE,8.1,86,0,1,3,78,83,Yes
99,Male,22,ECE,7.9,84,1,1,2,75,78,Yes
100,Female,21,CIVIL,6.9,75,2,0,1,62,66,No
101,Male,21,IT,8.8,92,0,2,3,87,90,Yes
102,Female,22,CSE,7.2,79,1,0,2,67,71,No
103,Male,21,ECE,8.3,87,0,2,3,80,84,Yes
104,Female,21,EEE,6.5,70,3,0,1,57,62,No
105,Male,22,CSE,8.7,91,0,2,4,86,89,Yes
106,Female,21,IT,7.6,83,1,1,2,72,76,No
107,Male,21,MECH,6.8,74,2,0,1,60,64,No
108,Female,22,CSE,8.4,89,0,2,3,82,86,Yes
109,Male,21,ECE,7.7,84,1,1,2,73,77,Yes
110,Female,21,CIVIL,6.6,69,3,0,1,55,60,No
111,Male,22,IT,9.1,95,0,3,4,93,94,Yes
112,Female,21,CSE,7.0,76,2,0,2,63,68,No
113,Male,21,ECE,8.2,86,0,1,3,79,83,Yes
114,Female,22,EEE,6.9,74,2,0,1,61,65,No
115,Male,21,CSE,8.5,90,0,2,3,84,88,Yes
116,Female,21,IT,7.3,80,1,1,2,68,72,No
117,Male,22,MECH,6.7,72,2,0,1,58,62,No
118,Female,21,CSE,8.6,91,0,2,4,85,89,Yes
119,Male,21,ECE,7.8,85,1,1,2,74,78,Yes
120,Female,22,CIVIL,6.5,69,3,0,1,55,61,No
121,Male,21,IT,8.9,93,0,3,4,90,92,Yes
122,Female,21,CSE,7.4,81,1,0,2,69,73,No
123,Male,22,ECE,8.0,85,0,1,2,77,81,Yes
124,Female,21,EEE,6.7,72,2,0,1,59,63,No
125,Male,21,CSE,8.8,92,0,2,3,87,90,Yes
126,Female,22,IT,7.1,78,1,1,2,66,70,No
127,Male,21,MECH,6.9,75,2,0,1,61,64,No
128,Female,21,CSE,8.3,88,0,2,3,80,84,Yes
129,Male,22,ECE,7.6,83,1,1,2,72,76,Yes
130,Female,21,CIVIL,6.4,67,3,0,1,54,59,No
131,Male,21,IT,8.7,91,0,2,4,86,89,Yes
132,Female,22,CSE,7.3,80,1,0,2,67,72,No
133,Male,21,ECE,8.5,89,0,2,3,83,87,Yes
134,Female,21,EEE,6.8,73,2,0,1,60,65,No
135,Male,22,CSE,9.0,95,0,3,4,92,93,Yes
136,Female,21,IT,7.5,82,1,1,2,71,75,No
137,Male,21,MECH,6.6,70,3,0,1,56,60,No
138,Female,22,CSE,8.1,86,0,1,3,78,82,Yes
139,Male,21,ECE,7.9,84,1,1,2,75,78,Yes
140,Female,21,CIVIL,6.7,71,2,0,1,58,62,No
141,Male,22,IT,8.6,90,0,2,3,84,88,Yes
142,Female,21,CSE,7.0,77,2,0,2,64,68,No
143,Male,21,ECE,8.4,88,0,2,3,81,85,Yes
144,Female,22,EEE,6.9,74,2,0,1,61,66,No
145,Male,21,CSE,8.9,94,0,3,4,90,92,Yes
146,Female,21,IT,7.2,79,1,1,2,67,71,No
147,Male,22,MECH,6.5,69,3,0,1,55,60,No
148,Female,21,CSE,8.5,90,0,2,3,84,87,Yes
149,Male,21,ECE,7.7,83,1,1,2,73,76,Yes
150,Female,22,CIVIL,6.8,72,2,0,1,59,64,No
151,Male,21,IT,8.8,92,0,2,4,87,91,Yes
152,Female,21,CSE,7.4,81,1,0,2,69,73,No
153,Male,22,ECE,8.1,86,0,1,3,78,82,Yes
154,Female,21,EEE,6.6,70,3,0,1,56,61,No
155,Male,21,CSE,8.7,91,0,2,3,85,89,Yes
156,Female,22,IT,7.1,78,1,1,2,66,70,No
157,Male,21,MECH,6.9,75,2,0,1,60,64,No
158,Female,21,CSE,8.2,87,0,2,3,79,83,Yes
159,Male,22,ECE,7.8,84,1,1,2,74,77,Yes
160,Female,21,CIVIL,6.5,69,3,0,1,55,60,No
161,Male,21,IT,9.0,95,0,3,4,92,94,Yes
162,Female,22,CSE,7.3,80,1,0,2,68,72,No
163,Male,21,ECE,8.3,87,0,2,3,81,84,Yes
164,Female,21,EEE,6.7,72,2,0,1,58,63,No
165,Male,22,CSE,8.6,90,0,2,4,85,89,Yes
166,Female,21,IT,7.5,82,1,1,2,71,75,No
167,Male,21,MECH,6.8,73,2,0,1,59,63,No
168,Female,22,CSE,8.4,89,0,2,3,82,86,Yes
169,Male,21,ECE,7.9,85,1,1,2,75,79,Yes
170,Female,21,CIVIL,6.6,70,3,0,1,56,61,No
171,Male,22,IT,8.9,93,0,3,4,90,92,Yes
172,Female,21,CSE,7.0,76,2,0,2,63,68,No
173,Male,21,ECE,8.2,86,0,1,3,79,83,Yes
174,Female,22,EEE,6.9,74,2,0,1,60,65,No
175,Male,21,CSE,8.8,92,0,2,3,87,90,Yes
176,Female,21,IT,7.2,79,1,1,2,67,71,No
177,Male,22,MECH,6.7,71,3,0,1,57,61,No
178,Female,21,CSE,8.5,90,0,2,4,84,88,Yes
179,Male,21,ECE,7.6,83,1,1,2,72,76,Yes
180,Female,22,CIVIL,6.4,68,3,0,1,54,59,No
181,Male,21,IT,8.7,91,0,2,3,86,89,Yes
182,Female,21,CSE,7.4,81,1,0,2,69,73,No
183,Male,22,ECE,8.5,89,0,2,3,83,87,Yes
184,Female,21,EEE,6.8,73,2,0,1,59,64,No
185,Male,21,CSE,9.1,95,0,3,4,93,94,Yes
186,Female,22,IT,7.1,78,1,1,2,66,70,No
187,Male,21,MECH,6.6,70,3,0,1,55,60,No
188,Female,21,CSE,8.3,88,0,2,3,81,85,Yes
189,Male,22,ECE,7.8,84,1,1,2,74,78,Yes
190,Female,21,CIVIL,6.5,69,3,0,1,55,61,No
191,Male,21,IT,8.9,93,0,3,4,90,92,Yes
192,Female,22,CSE,7.2,79,1,0,2,67,71,No
193,Male,21,ECE,8.1,86,0,1,3,78,82,Yes
194,Female,21,EEE,6.7,71,2,0,1,58,63,No
195,Male,22,CSE,8.6,91,0,2,3,85,89,Yes
196,Female,21,IT,7.3,80,1,1,2,68,72,No
197,Male,21,MECH,6.9,74,2,0,1,60,64,No
198,Female,22,CSE,8.4,89,0,2,4,82,86,Yes
199,Male,21,ECE,7.7,84,1,1,2,73,77,Yes
200,Female,21,CIVIL,6.6,70,3,0,1,56,61,No
